Name,Price_usd,Price_kgs,Image,Specs,Description
Kia Carnival II Grand 2.2 ,$ 8 400,712 320 сом,https://im.mashina.kg/tachka/images//2/b/6/2b672b83f8433749ba0d899be3bc59c6_1200x900.jpg,"['Год выпуска2010', 'Пробег76000 км', 'Кузовминивэн', 'Цвет бордовый', 'Двигатель2.2 л. /  дизель', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии', 'Прочеевложений не требует']","Киа Гранд Карнивал  Год выпуска: 2010 Объем: 2.2 CRDI (200лс) Коробка: автомат-типтроник (6-ступ) Топливо: дизель Привод: передний Руль: слева Расход: 11-12л по городу 7л по трассе Отличный семейный минивэн 7 мест  Машина в отличном состоянии не битая все стекла родные кости целые  Мотор и коробка нового образца есть шумоизоляция  не расходует масла, не дымит и тянет хорошо коробка переключается плавно и не пинает  С запчастями проблем нет Без вложений"
Toyota Camry IX (XV70) 2.5 ,$ 24 500,2 077 600 сом,https://im.mashina.kg/tachka/images//c/e/5/ce5d5d6488aaec88d435577c4cb7862a_1200x900.jpg,"['Год выпуска2018', 'Пробег37000 км', 'Кузовседан', 'Цвет белый', 'Двигатель2.5 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']","Продаю Toyota Camry 70  2018год Пробег 37.000 км родной  Куплена в Тойота центре в Бишкеке в конце 2018 году Машина на гарантии, все ТО были пройдены вовремя в Тойота центре, Белый на черной коже Подогрев всех сидений, руля, подогрев лобового стекла, беспроводная зарядка, лед освещение, машина как новая  Цена 24500$ торг на месте или обмен с доплатой  Тел 0550577775"
Land Rover Range Rover III Рестайлинг 4.2 ,$ 10 300,873 440 сом,https://im.mashina.kg/tachka/images//2/1/8/2188bfe63cb5975f9db753dd69032cb9_1200x900.jpg,"['Год выпуска2006', 'Кузоввнедорожник 5 дв.', 'Цвет черный', 'Двигатель4.2 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",RANGE ROVER SUPERCHARGED Рестайлинг 2006 год 4.2 объем Состояние отличное! Родная краска !  Все стекло родные!! Без вложений!! Тяга Пушка!! Цена 10.300$  0500 727478
"Mercedes-Benz E-класс IV (W212, S212, C207) Рестайлинг 200 2.0 ",$ 14 900,1 263 520 сом,https://im.mashina.kg/tachka/images//7/0/c/70c5313d872fd154e5370dc5acaac2ab_1200x900.jpg,"['Год выпуска2015', 'Кузовседан', 'Цвет черный', 'Двигатель2.0 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии']",Срочно!!!!!  Машина в идеальном состояние  Вложений нет  Торг минимальный  Только звонить после 12:00 дня  Штрафов арестов нет  
Mercedes-Benz S-класс V (W221) Рестайлинг 500 Long 5.5 ,$ 13 900,1 178 720 сом,https://im.mashina.kg/tachka/images//8/7/2/872031371d8f3c7baa1c4849827343fa_1200x900.jpg,"['Год выпуска2009', 'Пробег180 км', 'Кузовседан', 'Цвет черный', 'Двигатель5.5 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Наличиев наличии']","Срочно !!!!!  Машина в отличном состояние  2009 год рестайлинг  Обмена нет  Только звонить. После 12:00  Торг  Штрафов нет арестов нет  Не автосалон я хозяин "
"Mercedes-Benz E-класс AMG IV (W212, S212) 63 AMG 6.2 ",$ 26 000,2 204 800 сом,https://im.mashina.kg/tachka/images//b/0/e/b0e6e4e704678c5472db4f76646ff9be_1200x900.jpg,"['Год выпуска2010', 'Пробег170000 км', 'Кузовседан', 'Цвет белый', 'Двигатель6.2 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии']","Продаю Mercedes-Benz W212 E 6.3 AMG год   2010.НЕ БИТЫЙ 100% Двигатель: бензин 6.2 л  Мощность: 525 л.с 0.100 4.5 сек Трансмиссия: автомат 7 G tronic  Привод: задний  Пробег 160000 км  Полный рестайлинг обвесы  6.3 AMG   (все оригинальное: фары, бампера передний и задний, выхлоп AMG,   диски R19 INFORGED оргинал) Салон вентилируемые сиденья с подогревом,  массаж, аудиосистема  Harman/kardon DVD ченьчжер. Все пакеты и опции,  бесключевой доступ push start stop.  Каробка переключается плавно. Ходовая в норме, не шумит. ЦЕНА 26000$  WhatsApp 0554777743"
Mercedes-Benz S-класс AMG I (W220) 55 AMG 5.4 ,$ 8 900,754 720 сом,https://im.mashina.kg/tachka/images//0/c/b/0cb4ec2327e4f5bdd5cd0a873fb94564_1200x900.jpg,"['Год выпуска2000', 'Пробег250000 км', 'Кузовседан', 'Цвет серебристый', 'Двигатель5.4 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует', 'Гос номер01KG055OSS']","Продаю/Меняю MB S55 AMG 07.2000г Японец YANASE. Двигатель: 5.5л Атмосферник ECU STAGE 1 (~400 л.с.) TCU EGS 52 (Full Manual) Машина в идеале! Не битая, стекла все родные (Антиблик) Чистокровный AMG. Все в оригинале. Тюнинг выхлопа, безкат, x-pipe, приятный бас, попкорн, все дела. Расход по трассе 10л, в городе от 18л. Заливаем строго АИ 98/100 и масло 5W-40. Машина после большого ТО! (Замена всех жидкостей, фильтров, лампочек, свечей, катушек,  бензонасоса,  аккумулятора) Полностью перебрали ходовую (ОЕМ) Сделана полировка, химчистка и чистка фар! Черная кожа наппа и расширенная отделка деревом. Аудиосистема Bose, Родной Comand Сиденья все электро с подогревом и вентиляцией. Память сидений, память руля и зеркал. Круиз, Клима, Парктроник Люк, Шторка. Полный набор заводских инструментов. Машину делали для себя, не жалели, ставили все лучшее! Цена $8900, За нал немного уступлю. Обмен рассмотрю. Звонить 0554607080 Сапар."
BMW X5 I (E53) Рестайлинг 4.4 ,$ 10 000,848 000 сом,https://im.mashina.kg/tachka/images//d/c/4/dc466256231e2c2af4e377d06204b1f6_1200x900.jpg,"['Год выпуска2004', 'Пробег193000 км', 'Кузоввнедорожник 5 дв.', 'Цвет черный', 'Двигатель4.4 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']","Для тех кто ищет идеальный Х5 BMW X5 E53 restyling  Объём 4,4 автомат  Чистый Немец 🇩🇪  Вложений абсолютно нет  Обвес 4,8 оригинал  Выхлоп оригинал  Диски спортсмен R20 разноширокие , новая резина , комплект диски R18 с зимне резиной в подарок 🎁 панорамная крыша , сидения м, монитор Android , камера заднего вида , сигнализация с автозапуском star-line , буфер на 1000w оригинал , боковые шторки , в общем авто надо видеть в живую !!!! Прошу 10000$  Обмен с доплатой мне возможен !!! Цена на обмен 12500 0550666620"
Toyota Sequoia II 5.7 ,$ 28 500,2 416 800 сом,https://im.mashina.kg/tachka/images//7/b/8/7b8b83d93346fb0a5f83504d2fcbc516_1200x900.jpg,"['Год выпуска2011', 'Пробег321868 км', 'Кузоввнедорожник 5 дв.', 'Цвет коричневый', 'Двигатель5.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']","Авто в исключительном состоянии и комплектации, продажа в связи с финансовой надобностью !"
Mazda Tribute I 3.0 ,$ 6 000,508 800 сом,https://im.mashina.kg/tachka/images//b/5/4/b54042721ad5ba0551efc374caee8d89_1200x900.jpg,"['Год выпуска2003', 'Пробег215000 км', 'Кузоввнедорожник 5 дв.', 'Цвет красный', 'Двигатель3.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменс доплатой продавца', 'Наличиев наличии', 'Прочеевложений не требует']",Описание отсутствует
Toyota Camry V (XV30) 2.4 ,$ 7 500,636 000 сом,https://im.mashina.kg/tachka/images//5/e/5/5e5a05e9521ed3d215e3a4d5fc0b258b_1200x900.jpg,"['Год выпуска2005', 'Пробег177500 км', 'Кузовседан', 'Цвет синий', 'Двигатель2.4 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",Описание отсутствует
Toyota Camry IX (XV70) 2.5 ,$ 20 500,1 738 400 сом,https://im.mashina.kg/tachka/images//d/d/a/ddab93d75d97d50f79742375342d9c63_1200x900.jpg,"['Год выпуска2018', 'Пробег40000 км', 'Кузовседан', 'Цвет серый', 'Двигатель2.5 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочеевложений не требует', 'VIN                        4T1**************                    ']",Продается: Тойота Камри Год выпуска: 2018 Пробег: 40 тыс. км оригинал Страна производитель: США Состояние: идеальное Vin: 4T1B11HK8JU095947 Цена: 20500$ (окончательно) На обмен 23000$ Рассмотрю обмен строго Камри 50/55 (Европа) или GX470 с доплатой мне  Телефон: 0777094803
Toyota RAV 4 IV (CA40) Рестайлинг 2.5 ,$ 18 500,1 568 800 сом,https://im.mashina.kg/tachka/images//8/6/1/861fa67bc115d9097329b680aa876b49_1200x900.jpg,"['Год выпуска2017', 'Пробег102000 км', 'Кузоввнедорожник 5 дв.', 'Цвет белый', 'Двигатель2.5 л. /  гибрид', 'Коробкавариатор', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиена заказ']","НА ЗАКАЗ С ГАРАНТИЕЙ ГАРАНТИЯ НА 2000КМ НА КОРОБКУ И ДВИГАТЕЛЬ ТОЛЬКО У НАС ПОКУПАЯ, ВЫ ПОЛУЧАЕТЕ ГАРАНТИЮ  TOYOTA RAV4 4WD 2017  ГИБРИД (HYBRID) ОФИЦИАЛЬНО TOYOTA ДАЕТ НА ГИБРИДНЫЕ БАТАРЕИ 10 ЛЕТ ГАРАНТИИ ЦЕНА С РАСТАМОЖКОЙ И ДОСТАВКОЙ ДО БИШКЕКА 24222$  ДАННАЯ МАШИНА С ПРОБЕГОМ 102 000 КМ ПОЛНЫЙ ПРИВОД ЧИСТАЯ МАШИНА! БЕЗ ВЛОЖЕНИЙ! ЦЕНА С ДОСТАВКОЙ В БИШКЕКЕ 24222$  ВАШЕ ДОВЕРИЕ НАША МОТИВАЦИЯ!"
BMW X5 II (E70) Рестайлинг 50i 4.4 ,$ 15 350,1 301 680 сом,https://im.mashina.kg/tachka/images//3/2/b/32b2b761c2a8f0b5448cf19b7a20cc3a_1200x900.jpg,"['Год выпуска2010', 'Пробег155000 км', 'Кузоввнедорожник 5 дв.', 'Цвет серый', 'Двигатель4.4 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии', 'Прочеесвежепригнан, налог уплачен, техосмотр пройден']",Машина свежо пригнан торг после осмотра  только звонить обмен дороже 
Toyota RAV 4 II (XA20) Рестайлинг 2.0 ,$ 6 200,525 760 сом,https://im.mashina.kg/tachka/images//1/2/3/123b7e9b09a61e4a94545046d2e66065_1200x900.jpg,"['Год выпуска2003', 'Пробег217064 км', 'Кузоввнедорожник 5 дв.', 'Цвет синий', 'Двигатель2.0 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",2003 года  2.0 объём  Состояние хорошее 
Suzuki Grand Vitara II 2.5 ,$ 5 000,424 000 сом,https://im.mashina.kg/tachka/images//e/7/1/e7138470a0d6911fdbb2079e2689b328_1200x900.jpg,"['Год выпуска2000', 'Пробег180000 км', 'Кузоввнедорожник 5 дв.', 'Цвет синий', 'Двигатель2.5 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']","отличный внедорожник ,два комплекта резины,авто в отличном состоянии,обмен возможен"
